id,airport,type,latitude,longitude,crs_dep_time,dep_time,cancelled,diverted
0,LGA,origin,40.77724306,-73.87260917,1725,,1,0
0,BUF,dest,42.94052472,-78.73216667,1725,,1,0
1,MSY,origin,29.99338889,-90.25802778,1144,,1,0
1,LGA,dest,40.77724306,-73.87260917,1244,,1,0
2,CLT,origin,35.21401111,-80.94312583,1855,,1,0
2,PHL,dest,39.87195278,-75.24114083,1855,,1,0
3,PIT,origin,40.49146583,-80.23287083,700,700,0,0
3,ORD,dest,41.979595,-87.90446417,600,700,0,0
4,MSY,origin,29.99338889,-90.25802778,1000,,1,0
4,PHL,dest,39.87195278,-75.24114083,1100,,1,0
5,LGA,origin,40.77724306,-73.87260917,1530,,1,0
5,PIT,dest,40.49146583,-80.23287083,1530,,1,0
6,PIT,origin,40.49146583,-80.23287083,1805,,1,0
6,DFW,dest,32.89595056,-97.0372,1705,,1,0
7,CLT,origin,35.21401111,-80.94312583,940,,1,0
7,MSP,dest,44.88054694,-93.2169225,840,,1,0
8,MDT,origin,40.19349528,-76.76340361,650,647,0,0
8,PIT,dest,40.49146583,-80.23287083,650,647,0,0
9,PIT,origin,40.49146583,-80.23287083,835,834,0,0
9,BUF,dest,42.94052472,-78.73216667,835,834,0,0
10,CLT,origin,35.21401111,-80.94312583,1700,,1,0
10,TPA,dest,27.97547222,-82.53325,1700,,1,0
11,PHL,origin,39.87195278,-75.24114083,1406,,1,0
11,IND,dest,39.71732917,-86.29438417,1406,,1,0
12,PIT,origin,40.49146583,-80.23287083,1619,,1,0
12,CLT,dest,35.21401111,-80.94312583,1619,,1,0
13,ORD,origin,41.979595,-87.90446417,1050,,1,0
13,PHL,dest,39.87195278,-75.24114083,1150,,1,0
14,PIT,origin,40.49146583,-80.23287083,1135,,1,0
14,CMH,dest,39.99798528,-82.89188278,1135,,1,0
15,PHL,origin,39.87195278,-75.24114083,1950,,1,0
15,DTW,dest,42.21205889,-83.34883583,1950,,1,0
16,PHL,origin,39.87195278,-75.24114083,2005,,1,0
16,JAX,dest,30.49405556,-81.68786111,2005,,1,0
17,CHS,origin,32.89864639,-80.04050583,1240,,1,0
17,CLT,dest,35.21401111,-80.94312583,1240,,1,0
18,CLT,origin,35.21401111,-80.94312583,1455,,1,0
18,BOS,dest,42.3643475,-71.00517917,1455,,1,0
19,STL,origin,38.74768694,-90.35998972,844,,1,0
19,CLT,dest,35.21401111,-80.94312583,944,,1,0
20,MCO,origin,28.42888889,-81.31602778,1616,,1,0
20,CLT,dest,35.21401111,-80.94312583,1616,,1,0
21,PIT,origin,40.49146583,-80.23287083,1140,,1,0
