id,airport,latitude,longitude,crs_dep_time,dep_time,cancelled,diverted
0,"LGA",40.77724306,-73.87260917,"1725","",1.00,0.00
0,"BUF",42.94052472,-78.73216667,"1725","",1.00,0.00
1,"MSY",29.99338889,-90.25802778,"1245","",1.00,0.00
1,"LGA",40.77724306,-73.87260917,"1245","",1.00,0.00
2,"CLT",35.21401111,-80.94312583,"1855","",1.00,0.00
2,"PHL",39.87195278,-75.24114083,"1855","",1.00,0.00
3,"PIT",40.49146583,-80.23287083,"0700","0700",0.00,0.00
3,"ORD",41.979595,-87.90446417,"0700","0700",0.00,0.00
4,"MSY",29.99338889,-90.25802778,"1100","",1.00,0.00
4,"PHL",39.87195278,-75.24114083,"1100","",1.00,0.00
5,"LGA",40.77724306,-73.87260917,"1530","",1.00,0.00
5,"PIT",40.49146583,-80.23287083,"1530","",1.00,0.00
6,"PIT",40.49146583,-80.23287083,"1805","",1.00,0.00
6,"DFW",32.89595056,-97.0372,"1805","",1.00,0.00
7,"CLT",35.21401111,-80.94312583,"0940","",1.00,0.00
7,"MSP",44.88054694,-93.2169225,"0940","",1.00,0.00
8,"MDT",40.19349528,-76.76340361,"0650","0647",0.00,0.00
8,"PIT",40.49146583,-80.23287083,"0650","0647",0.00,0.00
9,"PIT",40.49146583,-80.23287083,"0835","0834",0.00,0.00
9,"BUF",42.94052472,-78.73216667,"0835","0834",0.00,0.00
10,"CLT",35.21401111,-80.94312583,"1700","",1.00,0.00
10,"TPA",27.97547222,-82.53325,"1700","",1.00,0.00
11,"PHL",39.87195278,-75.24114083,"1406","",1.00,0.00
11,"IND",39.71732917,-86.29438417,"1406","",1.00,0.00
12,"PIT",40.49146583,-80.23287083,"1620","",1.00,0.00
12,"CLT",35.21401111,-80.94312583,"1620","",1.00,0.00
13,"ORD",41.979595,-87.90446417,"1150","",1.00,0.00
13,"PHL",39.87195278,-75.24114083,"1150","",1.00,0.00
14,"PIT",40.49146583,-80.23287083,"1135","",1.00,0.00
14,"CMH",39.99798528,-82.89188278,"1135","",1.00,0.00
15,"PHL",39.87195278,-75.24114083,"1950","",1.00,0.00
15,"DTW",42.21205889,-83.34883583,"1950","",1.00,0.00
16,"PHL",39.87195278,-75.24114083,"2005","",1.00,0.00
16,"JAX",30.49405556,-81.68786111,"2005","",1.00,0.00
17,"CHS",32.89864639,-80.04050583,"1240","",1.00,0.00
17,"CLT",35.21401111,-80.94312583,"1240","",1.00,0.00
18,"CLT",35.21401111,-80.94312583,"1455","",1.00,0.00
18,"BOS",42.3643475,-71.00517917,"1455","",1.00,0.00
19,"SDF",38.17438889,-85.736,"1800","",1.00,0.00
19,"CLT",35.21401111,-80.94312583,"1800","",1.00,0.00
20,"CHA",35.03526833,-85.20378778,"0610","0606",0.00,0.00
20,"CLT",35.21401111,-80.94312583,"0610","0606",0.00,0.00
21,"PIT",40.49146583,-80.23287083,"1130","",1.00,0.00
21,"SDF",38.17438889,-85.736,"1130","",1.00,0.00
22,"STL",38.74768694,-90.35998972,"0945","",1.00,0.00
22,"CLT",35.21401111,-80.94312583,"0945","",1.00,0.00
23,"MCO",28.42888889,-81.31602778,"1616","",1.00,0.00
23,"CLT",35.21401111,-80.94312583,"1616","",1.00,0.00
24,"PIT",40.49146583,-80.23287083,"1140","",1.00,0.00
24,"DCA",38.85208333,-77.03772222,"1140","",1.00,0.00
25,"CLT",35.21401111,-80.94312583,"1205","",1.00,0.00
25,"ORD",41.979595,-87.90446417,"1205","",1.00,0.00
26,"MYR",33.67975,-78.92833333,"1020","",1.00,0.00
26,"CLT",35.21401111,-80.94312583,"1020","",1.00,0.00
27,"CLT",35.21401111,-80.94312583,"2230","",1.00,0.00
27,"CHS",32.89864639,-80.04050583,"2230","",1.00,0.00
28,"DFW",32.89595056,-97.0372,"1815","",1.00,0.00
28,"CLT",35.21401111,-80.94312583,"1815","",1.00,0.00
29,"CLT",35.21401111,-80.94312583,"1350","",1.00,0.00
29,"IAH",29.98047222,-95.33972222,"1350","",1.00,0.00
30,"RDU",35.87763889,-78.78747222,"1207","",1.00,0.00
30,"CLT",35.21401111,-80.94312583,"1207","",1.00,0.00
31,"LGA",40.77724306,-73.87260917,"1915","",1.00,0.00
31,"GSO",36.09774694,-79.9372975,"1915","",1.00,0.00
32,"DCA",38.85208333,-77.03772222,"1405","",1.00,0.00
32,"TPA",27.97547222,-82.53325,"1405","",1.00,0.00
33,"SYR",43.11118694,-76.10631056,"1200","",1.00,0.00
33,"DCA",38.85208333,-77.03772222,"1200","",1.00,0.00
34,"CLE",41.41089417,-81.84939667,"1528","",1.00,0.00
34,"PHL",39.87195278,-75.24114083,"1528","",1.00,0.00
35,"DCA",38.85208333,-77.03772222,"1855","",1.00,0.00
35,"TPA",27.97547222,-82.53325,"1855","",1.00,0.00
36,"SYR",43.11118694,-76.10631056,"1650","",1.00,0.00
36,"DCA",38.85208333,-77.03772222,"1650","",1.00,0.00
37,"CLT",35.21401111,-80.94312583,"2250","",1.00,0.00
37,"AVL",35.43619444,-82.54180556,"2250","",1.00,0.00
38,"FLL",26.07258333,-80.15275,"1958","",1.00,0.00
38,"CLT",35.21401111,-80.94312583,"1958","",1.00,0.00
39,"CLT",35.21401111,-80.94312583,"2100","",1.00,0.00
39,"DFW",32.89595056,-97.0372,"2100","",1.00,0.00
40,"CMH",39.99798528,-82.89188278,"1905","",1.00,0.00
40,"CLT",35.21401111,-80.94312583,"1905","",1.00,0.00
41,"FLL",26.07258333,-80.15275,"1000","",1.00,0.00
41,"PHL",39.87195278,-75.24114083,"1000","",1.00,0.00
42,"PIT",40.49146583,-80.23287083,"1420","",1.00,0.00
42,"CLT",35.21401111,-80.94312583,"1420","",1.00,0.00
43,"GSO",36.09774694,-79.9372975,"1349","",1.00,0.00
43,"CLT",35.21401111,-80.94312583,"1349","",1.00,0.00
44,"PHL",39.87195278,-75.24114083,"1101","",1.00,0.00
44,"TPA",27.97547222,-82.53325,"1101","",1.00,0.00
45,"ORF",36.89461111,-76.20122222,"1850","",1.00,0.00
45,"PIT",40.49146583,-80.23287083,"1850","",1.00,0.00
46,"PIT",40.49146583,-80.23287083,"2055","",1.00,0.00
46,"IND",39.71732917,-86.29438417,"2055","",1.00,0.00
47,"BUF",42.94052472,-78.73216667,"1640","",1.00,0.00
47,"LGA",40.77724306,-73.87260917,"1640","",1.00,0.00
48,"LGA",40.77724306,-73.87260917,"1845","",1.00,0.00
48,"RIC",37.50516667,-77.31966667,"1845","",1.00,0.00
49,"CLT",35.21401111,-80.94312583,"1525","",1.00,0.00
