Carrier,Year,Quarter,Domestic,Total
AA,2000,1,69607,105083
AA,2000,2,226493,323605
AA,2000,3,26417,316112
AA,2000,4,26417,33203
AA,2000,TOTAL,511809,778003
AA,2001,1,-96984,-54763
AA,2001,2,-473359,-437100
AA,2001,3,-387386,-290818
AA,2001,4,-396983,-534495
AA,2001,TOTAL,-1354712,-1317176
AA,2002,1,-1099842,-1431478
AA,2002,2,-412967,-485719
AA,2002,3,-789387,-850910
AA,2002,4,-602512,-727553
AA,2002,TOTAL,-2904708,-3495660
UA,2000,1,-48257,-81090
UA,2000,2,268331,330840
UA,2000,3,-124854,-111143
UA,2000,4,-105272,-86983
UA,2000,TOTAL,-10052,51624
UA,2001,1,-196074,-321398
UA,2001,2,-156296,-293716
UA,2001,3,-746158,-1179220
UA,2001,4,-180248,-315875
UA,2001,TOTAL,-1278776,-2110209
UA,2002,1,-307046,-459502
UA,2002,2,-240534,-363252
UA,2002,3,-630804,-911319
UA,2002,4,-989668,-1555308
UA,2002,TOTAL,-2168052,-3325781
