airport,category,number,percentage,year
SEA,large,101563,0.019925112355009655,1990
SFO,large,137616,0.026998161356468486,1990
LAX,large,178684,0.03505507690834798,1990
FLL,large,41922,0.008224457333346936,1990
PHX,large,117628,0.02307682045720465,1990
DFW,large,229231,0.044971627760613794,1990
SLC,large,58754,0.011526639143253324,1990
LAS,large,69858,0.013705074671841759,1990
IAH,large,85908,0.016853840002699502,1990
MSP,large,102018,0.020014376418906247,1990
ORD,large,281273,0.055181474822825545,1990
STL,large,121896,0.023914136995030248,1990
BNA,large,54634,0.010718357949288595,1990
MEM,large,62030,0.012169340403308774,1990
CLE,large,68286,0.013396672235697935,1990
DTW,large,119341,0.023412884943918626,1990
CVG,large,60487,0.011866627325083633,1990
HOU,large,57017,0.011185866222399747,1990
PIT,large,112926,0.022154359735354612,1990
BOS,large,103010,0.020208991696676396,1990
ATL,large,252836,0.04960256892166657,1990
PHL,large,95838,0.018801954627959153,1990
EWR,large,109890,0.021558742816695165,1990
CLT,large,106284,0.02085130058722021,1990
JFK,large,46790,0.009179484724662543,1990
LGA,large,118774,0.023301648187370568,1990
MCO,large,77288,0.015162727407559706,1990
IAD,large,68076,0.013355473436976432,1990
RDU,large,55018,0.0107936928955222,1990
DCA,large,96032,0.01884001447058759,1990
BWI,large,66450,0.013036477024018507,1990
MIA,large,77412,0.015187054317280974,1990
TPA,large,61335,0.01203299199801618,1990
HNL,large,46569,0.009136127893627055,1990
SEA,large,117385,0.023054109252340617,1991
SFO,large,143095,0.028103486505632578,1991
LAX,large,176278,0.03462054155798525,1991
PHX,large,125551,0.02465789045227769,1991
DFW,large,233204,0.04580066017023334,1991
SLC,large,59517,0.011688984285654526,1991
LAS,large,79518,0.015617128760298343,1991
SAN,large,62250,0.012225738390409364,1991
IAH,large,83828,0.016463601570943554,1991
MSP,large,103942,0.02041393895222378,1991
ORD,large,289540,0.05686490431420285,1991
STL,large,148213,0.029108648418598285,1991
BNA,large,60778,0.011936641411924504,1991
DTW,large,116696,0.022918791441079698,1991
CVG,large,63766,0.012523476854664154,1991
HOU,large,55038,0.010809320313756636,1991
PIT,large,112153,0.022026558035334643,1991
