airport,latitude,longitude
ABE,40.65236278,-75.44040167
ABQ,35.04022222,-106.6091944
ALB,42.74811944,-73.80297861
AMA,35.2193725,-101.7059272
ATL,33.64044444,-84.42694444
AUS,30.19453278,-97.66987194
BDL,41.93887417,-72.68322833
BHM,33.56294306,-86.75354972
BNA,36.12447667,-86.67818222
BOS,42.3643475,-71.00517917
BTR,30.53316083,-91.14963444
BTV,44.47300361,-73.1503125
BUF,42.94052472,-78.73216667
BWI,39.17540167,-76.66819833
CAE,33.93884,-81.11953944
CHS,32.89864639,-80.04050583
CID,41.88458833,-91.71087222
CLE,41.41089417,-81.84939667
CLT,35.21401111,-80.94312583
CMH,39.99798528,-82.89188278
COS,38.80580556,-104.70025
CRP,27.77036083,-97.50121528
CVG,39.04614278,-84.6621725
DAL,32.84711389,-96.85177222
DAY,39.90237583,-84.219375
DCA,38.85208333,-77.03772222
DFW,32.89595056,-97.0372
DSM,41.53493306,-93.66068222
DTW,42.21205889,-83.34883583
ELP,31.80666667,-106.3778056
EWR,40.69249722,-74.16866056
FLL,26.07258333,-80.15275
GEG,47.61985556,-117.5338425
GRB,44.48507333,-88.12959
GRR,42.88081972,-85.52276778
GSO,36.09774694,-79.9372975
GSP,34.89566722,-82.21885833
HOU,29.64541861,-95.27888889
HSV,34.6404475,-86.77310944
IAD,38.94453194,-77.45580972
IAH,29.98047222,-95.33972222
ICT,37.64995889,-97.43304583
IND,39.71732917,-86.29438417
JAN,32.31116667,-90.07588889
JAX,30.49405556,-81.68786111
JFK,40.63975111,-73.77892556
LAS,36.08036111,-115.1523333
LAX,33.94253611,-118.4080744
LBB,33.66363889,-101.8227778
LEX,38.03697222,-84.60538889
LGA,40.77724306,-73.87260917
LIT,34.72939611,-92.22424556
MAF,31.94252778,-102.2019139
MCI,39.29760528,-94.71390556
MCO,28.42888889,-81.31602778
MDT,40.19349528,-76.76340361
MDW,41.7859825,-87.75242444
MEM,35.04241667,-89.97666667
MHT,42.93451639,-71.43705583
MIA,25.79325,-80.29055556
MKE,42.94722222,-87.89658333
MOB,30.69141667,-88.24283333
MSN,43.13985778,-89.33751361
MSP,44.88054694,-93.2169225
MSY,29.99338889,-90.25802778
MYR,33.67975,-78.92833333
OAK,37.72129083,-122.2207167
OKC,35.39308833,-97.60073389
OMA,41.30251861,-95.89417306
ORD,41.979595,-87.90446417
PBI,26.68316194,-80.09559417
PDX,45.58872222,-122.5975
PHL,39.87195278,-75.24114083
PHX,33.43416667,-112.0080556
PIT,40.49146583,-80.23287083
PNS,30.47330556,-87.18744444
PVD,41.72399917,-71.42822111
PWM,43.64616667,-70.30875
RDU,35.87763889,-78.78747222
RIC,37.50516667,-77.31966667
RNO,39.49857611,-119.7680647
ROC,43.11886611,-77.67238389
SAN,32.73355611,-117.1896567
SAT,29.53369444,-98.46977778
SAV,32.12758333,-81.20213889
SBN,41.70895361,-86.31847417
SEA,47.44898194,-122.3093131
SFO,37.61900194,-122.3748433
SJC,37.36186194,-121.9290089
SLC,40.78838778,-111.9777731
SMF,38.69542167,-121.5907669
SNA,33.67565861,-117.8682225
STL,38.74768694,-90.35998972
SYR,43.11118694,-76.10631056
TPA,27.97547222,-82.53325
TUL,36.19837222,-95.88824167
TUS,32.11608333,-110.9410278
TYS,35.81248722,-83.99285583
