year,WN,AA,DL,UA,US,NW
1990,22064129,64657724,61387965,51387547,58473884,33942831
1991,25210877,65372276,69134227,54524402,53936567,34062435
1992,31023005,72893407,75320610,56847803,52769508,35745201
1993,37517255,67970786,76612069,58564753,51730300,36503744
1994,44237824,65869325,80487552,62659453,57756237,37928212
1995,50038707,62872243,79099070,67255462,54798317,41147931
1996,55372361,62343746,89598231,70041013,54585324,43535244
1997,55943405,63976882,95965747,71875986,56364488,45168283
1998,59053217,63986759,97878777,75058073,55603253,41930858
1999,65287540,63892853,98212271,75435685,53271910,46666307
2000,72568465,68318711,97965050,72449712,56666734,48462068
2001,73628735,61703981,86888411,63946774,52657538,44786477
2002,72459290,77448660,83746977,57830147,43480092,43313590
2003,74768258,72202834,77792560,56307542,37302321,43310361
2004,81121296,72647682,79373578,60080792,37810424,45959204
2005,88435832,77296967,77581274,55172705,37040080,46690086
2006,96330250,76813449,63495888,57229074,31886350,45140701
2007,101947800,76581414,61599411,56420151,37220911,43812180
2008,101965552,71563663,59375572,51681045,48544910,38510984
