category,year,count
WN,1990,22064129
WN,1991,25210877
WN,1992,31023005
WN,1993,37517255
WN,1994,44237824
WN,1995,50038707
WN,1996,55372361
WN,1997,55943405
WN,1998,59053217
WN,1999,65287540
WN,2000,72568465
WN,2001,73628735
WN,2002,72459290
WN,2003,74768258
WN,2004,81121296
WN,2005,88435832
WN,2006,96330250
WN,2007,101947800
WN,2008,101965552
AA,1990,64657724
AA,1991,65372276
AA,1992,72893407
AA,1993,67970786
AA,1994,65869325
AA,1995,62872243
AA,1996,62343746
AA,1997,63976882
AA,1998,63986759
AA,1999,63892853
AA,2000,68318711
AA,2001,61703981
AA,2002,77448660
AA,2003,72202834
AA,2004,72647682
AA,2005,77296967
AA,2006,76813449
AA,2007,76581414
AA,2008,71563663
DL,1990,61387965
DL,1991,69134227
DL,1992,75320610
DL,1993,76612069
DL,1994,80487552
DL,1995,79099070
DL,1996,89598231
DL,1997,95965747
DL,1998,97878777
DL,1999,98212271
DL,2000,97965050
DL,2001,86888411
DL,2002,83746977
DL,2003,77792560
DL,2004,79373578
DL,2005,77581274
DL,2006,63495888
DL,2007,61599411
DL,2008,59375572
UA,1990,51387547
UA,1991,54524402
UA,1992,56847803
UA,1993,58564753
UA,1994,62659453
UA,1995,67255462
UA,1996,70041013
UA,1997,71875986
UA,1998,75058073
UA,1999,75435685
UA,2000,72449712
UA,2001,63946774
UA,2002,57830147
UA,2003,56307542
UA,2004,60080792
UA,2005,55172705
UA,2006,57229074
UA,2007,56420151
UA,2008,51681045
US,1990,58473884
US,1991,53936567
US,1992,52769508
US,1993,51730300
US,1994,57756237
US,1995,54798317
US,1996,54585324
US,1997,56364488
US,1998,55603253
US,1999,53271910
US,2000,56666734
US,2001,52657538
US,2002,43480092
US,2003,37302321
US,2004,37810424
US,2005,37040080
US,2006,31886350
US,2007,37220911
US,2008,48544910
divider,2001,0
divider,2001,100000000
