category,year,count
WN,1998,107338219
WN,1999,113107800
WN,2000,121061877
WN,2001,126246292
WN,2002,127291613
WN,2003,127777110
WN,2004,132620696
AA,1998,92831376
AA,1999,95727832
AA,2000,98599272
AA,2001,92526365
AA,2002,114885967
AA,2003,102446505
AA,2004,99381518
DL,1998,145904537
DL,1999,146112684
DL,2000,144266949
DL,2001,134333667
DL,2002,123239833
DL,2003,108545298
DL,2004,109787176
UA,1998,109025785
UA,1999,112574188
UA,2000,106726854
UA,2001,95926420
UA,2002,85125418
UA,2003,77764433
UA,2004,80057421
US,1998,83440102
US,1999,84129772
US,2000,90951155
US,2001,85902063
US,2002,70316188
US,2003,77764433
US,2004,56661824
divider,2001,0
divider,2001,150000000
