Date,Passengers,Seats
1998 Q1,1265954,2082693
Q2,1296756,2064044
Q3,1310767,2045739
Q4,1197999,1980798
1999 Q1,1204365,1953473
Q2,1250002,1960894
Q3,1289659,2000507
Q4,1169111,1939809
2000 Q1,1173310,1895662
Q2,1213822,1878442
Q3,1170783,1712345
Q4,1053097,1661126
2001 Q1,1046762,1593945
Q2,1077694,1558966
Q3,1015602,1495380
Q4,838081,1324532
2002 Q1,877111,1312320
Q2,917038,1393157
Q3,980479,1435553
Q4,1044729,1617809
2003 Q1,1077932,1588813
Q2,1123252,1622139
Q3,1203814,1746759
Q4,1196870,1819152
2004 Q1,1188558,1820400
Q2,1284600,1818905
Q3,1324972,1912343
Q4,1251290,1906352
